X Y Z Doppler RCS Label Mahalanobis_Error
5.705115 3.941712 -1.205744 -0.450058 8.040000 0.000000 0.232417
5.885739 2.300676 -1.203487 -0.510842 8.660000 0.000000 0.160546
5.988616 2.338161 -1.201378 -0.510918 8.460000 0.000000 0.165792
4.589133 5.080235 -1.199856 -0.429679 7.180000 0.000000 0.797490
4.266006 4.851632 -1.199188 -0.538160 7.810000 1.000000 2.693945
6.195096 1.355414 -1.197703 -0.550523 7.010000 0.000000 0.106296
6.964361 0.979169 -1.196722 -0.563617 8.010000 0.000000 0.187222
6.077057 3.395628 -1.196506 -0.459056 8.340000 0.000000 0.531686
6.396591 2.341241 -1.195769 -0.558559 7.460000 0.000000 0.541454
6.805857 1.687448 -1.195582 -0.564634 7.850000 0.000000 0.365390
5.484248 3.662386 -1.194038 -0.522147 8.270000 0.000000 0.890982
6.004208 0.034410 -1.193626 -0.543000 7.070000 0.000000 0.173407
6.084113 0.779367 -1.192961 -0.532056 7.740000 0.000000 0.311144
5.814484 2.636340 -1.191759 -0.488577 7.130000 0.000000 0.355276
5.433858 3.733933 -1.188889 -0.512011 8.290000 0.000000 0.788377
6.047283 0.596690 -1.187217 -0.541510 7.960000 0.000000 0.177535
5.275530 3.326005 -1.183905 -0.506910 7.780000 0.000000 0.523322
6.507105 1.212253 -1.181103 -0.511073 7.580000 0.000000 0.613448
6.772746 0.121270 -1.181034 -0.513258 8.480000 0.000000 0.704957
6.865232 0.922913 -1.178715 -0.563603 8.130000 0.000000 0.180583
6.259734 1.717722 -1.178612 -0.563604 7.910000 0.000000 0.416971
5.373732 3.375164 -1.177921 -0.507416 8.130000 0.000000 0.518078
6.703236 1.702892 -1.177624 -0.482930 7.300000 0.000000 0.975949
5.625300 1.739738 -1.177251 -0.512050 6.980000 0.000000 0.332046
5.647855 2.310596 -1.177060 -0.446809 7.240000 0.000000 1.166507
5.555861 2.315697 -1.176926 -0.549999 9.000000 0.000000 0.567745
6.938174 1.303749 -1.175813 -0.470554 7.380000 0.000000 1.298898
6.518888 1.827399 -1.174894 -0.473759 6.990000 0.000000 1.069675
5.664360 0.849845 -1.174096 -0.563513 8.040000 0.000000 0.249972
4.904061 3.752176 -1.173719 -0.501846 7.230000 0.000000 0.899027
4.370293 4.570210 -1.170586 -0.448304 7.910000 0.000000 0.928899
5.734243 3.350215 -1.169917 -0.457340 8.840000 0.000000 0.470374
5.975217 1.530421 -1.169538 -0.491526 8.550000 0.000000 0.801260
6.081767 1.555591 -1.166987 -0.491567 8.470000 0.000000 0.806921
6.275649 2.792269 -1.163900 -0.523479 7.520000 0.000000 0.173848
6.266812 2.697784 -1.161427 -0.584550 7.040000 0.000000 1.143488
6.765687 0.867848 -1.160716 -0.563591 6.680000 0.000000 0.174308
5.931839 1.230389 -1.160677 -0.563530 6.990000 0.000000 0.307208
5.455796 2.281185 -1.158776 -0.549758 9.670000 0.000000 0.568153
