# timestamp tx ty tz qx qy qz qw
1652439785.085417 89.538359 29.857944 -5.626712 0.038445 0.036325 0.959614 0.276302
1652439786.079004 89.080010 30.139406 -5.599174 0.038430 0.036336 0.959566 0.276469
1652439787.139785 88.628843 30.409382 -5.559502 0.038481 0.035669 0.962258 0.267032
1652439788.473311 88.175183 30.664821 -5.491270 0.037819 0.034632 0.963957 0.261070
1652439805.417871 88.033571 30.771891 -5.422518 0.036571 0.035229 0.963788 0.261791
1652439806.914820 87.571154 31.033783 -5.423453 0.036564 0.035447 0.962289 0.267222
1652439807.973664 87.111431 31.302186 -5.413752 0.035570 0.034708 0.958495 0.280744
1652439809.083394 86.661033 31.583323 -5.401587 0.035330 0.034697 0.955010 0.292409
1652439810.076531 86.219023 31.874824 -5.390390 0.034855 0.034523 0.950131 0.307967
1652439811.075250 85.802256 32.171050 -5.377653 0.034387 0.034688 0.947293 0.316622
1652439812.074956 85.379277 32.467849 -5.372872 0.034964 0.035007 0.950531 0.306664
1652439813.079093 84.929231 32.773027 -5.369992 0.034919 0.035091 0.952892 0.299242
1652439814.073654 84.497506 33.049812 -5.358455 0.034981 0.035241 0.953837 0.296191
1652439815.072799 84.062531 33.341507 -5.345535 0.034151 0.034413 0.950207 0.307824
1652439815.968442 83.659882 33.641479 -5.326888 0.032953 0.033815 0.936796 0.346676
1652439816.967691 83.257851 33.972103 -5.299547 0.033027 0.034454 0.937547 0.344569
1652439817.966753 82.862221 34.296328 -5.255262 0.031608 0.033608 0.931035 0.362001
1652439818.899141 82.484498 34.639565 -5.221228 0.030159 0.032287 0.917279 0.395787
1652439819.892561 82.130597 35.011534 -5.190495 0.028413 0.031732 0.894050 0.445938
1652439820.959571 81.805360 35.442767 -5.160924 0.025656 0.029636 0.854258 0.518369
1652439822.222648 81.600235 35.898856 -5.099346 0.021586 0.030835 0.805761 0.591044
1652439823.889131 81.446095 36.366388 -5.032006 0.020081 0.032696 0.767652 0.639717
1652439832.626415 81.244240 37.411475 -5.136862 0.021273 0.036002 0.770258 0.636360
1652439833.959630 81.138272 37.905246 -5.170903 0.020439 0.034258 0.765815 0.641822
1652439835.294296 81.021934 38.428664 -5.194488 0.022624 0.034092 0.780516 0.623795
1652439836.557939 80.909429 38.855932 -5.205953 0.022952 0.033950 0.786634 0.616058
1652439837.891347 80.789328 39.281844 -5.214501 0.023124 0.033953 0.780276 0.624085
1652439839.067867 80.688271 39.670203 -5.226882 0.022474 0.032455 0.773369 0.632726
1652439840.227088 80.590943 40.072564 -5.237754 0.023239 0.032298 0.783506 0.620109
1652439841.391132 80.465950 40.496329 -5.249493 0.025050 0.033422 0.801162 0.596988
1652439842.573821 80.311776 40.913275 -5.254484 0.026953 0.035125 0.831082 0.554385
1652439843.630527 80.140524 41.247189 -5.255436 0.031996 0.038585 0.877988 0.476051
1652439844.791396 79.882751 41.572176 -5.252386 0.035141 0.039626 0.917198 0.394896
1652439845.962655 79.569465 41.844321 -5.241313 0.035620 0.039236 0.939366 0.338796
1652439847.230171 79.229097 42.088263 -5.230365 0.037225 0.039491 0.959846 0.275228
1652439848.408689 78.872558 42.289394 -5.215821 0.038047 0.041228 0.965090 0.255840
1652439849.466121 78.521084 42.488732 -5.199525 0.036448 0.039510 0.958665 0.279412
1652439850.568466 78.174051 42.715012 -5.185020 0.035548 0.040882 0.954469 0.293351
1652439851.799512 77.797006 42.948294 -5.167858 0.036318 0.043431 0.960326 0.273073
1652439853.069011 77.419687 43.167054 -5.153810 0.036177 0.042103 0.964846 0.256886
1652439854.067708 77.064432 43.363066 -5.140590 0.036294 0.042473 0.966508 0.250482
1652439855.231708 76.682789 43.565683 -5.128078 0.036931 0.043417 0.968283 0.243266
1652439856.404661 76.320359 43.753296 -5.113396 0.036881 0.041173 0.968181 0.244070
1652439857.632361 75.931675 43.958326 -5.098930 0.037453 0.042273 0.968340 0.243164
1652439858.733793 75.574296 44.147228 -5.078722 0.037549 0.043552 0.969511 0.238206
1652439859.898892 75.187634 44.337283 -5.061094 0.037043 0.041579 0.971987 0.228341
1652439861.066055 74.792864 44.530828 -5.044835 0.037212 0.042747 0.972764 0.224764
1652439862.133533 74.381869 44.728655 -5.028900 0.036596 0.042288 0.971536 0.230194
1652439863.233225 74.002612 44.917076 -5.014530 0.036285 0.042124 0.967806 0.245482
1652439864.403476 73.610007 45.133033 -4.999690 0.035885 0.042827 0.962477 0.265548
1652439865.473152 73.233046 45.361373 -4.987421 0.035919 0.043032 0.959843 0.274882
1652439866.568385 72.871447 45.586947 -4.976405 0.036087 0.043784 0.958377 0.279811
1652439867.640239 72.510438 45.802297 -4.963147 0.036308 0.043096 0.961201 0.270032
1652439868.803757 72.115165 46.033327 -4.950726 0.036817 0.042119 0.964098 0.259588
1652439869.970612 71.751684 46.232586 -4.934455 0.037269 0.042901 0.964894 0.256419
1652439871.076058 71.396309 46.436872 -4.921204 0.037277 0.043988 0.963507 0.261401
1652439872.139060 71.035403 46.651157 -4.910569 0.036816 0.044098 0.961837 0.267525
1652439873.139008 70.674967 46.863656 -4.896013 0.035742 0.043911 0.958919 0.277972
1652439874.137335 70.311608 47.085128 -4.883496 0.034763 0.043223 0.954145 0.294160
1652439875.140060 69.968315 47.320853 -4.873619 0.033346 0.041488 0.942099 0.331082
1652439876.308850 69.644448 47.582398 -4.863446 0.031717 0.039552 0.925968 0.374182
1652439877.472785 69.356353 47.872757 -4.857225 0.030352 0.039320 0.911544 0.408192
1652439878.578975 69.094444 48.181933 -4.854371 0.028668 0.039624 0.891707 0.449964
1652439879.634603 68.863460 48.510410 -4.852477 0.026036 0.039455 0.864637 0.500168
1652439880.761069 68.654616 48.874435 -4.855270 0.023777 0.037354 0.843120 0.535900
1652439881.802126 68.478541 49.248334 -4.861757 0.022702 0.035558 0.833134 0.551459
1652439882.913362 68.297876 49.623348 -4.868398 0.024414 0.036354 0.847878 0.528380
1652439884.087010 68.099398 49.989433 -4.869774 0.026010 0.037934 0.860671 0.507079
1652439885.302423 67.879149 50.354230 -4.872936 0.027809 0.038918 0.871670 0.487754
1652439886.413642 67.644472 50.705365 -4.875185 0.028790 0.038985 0.877790 0.476588
1652439887.636341 67.424212 51.044057 -4.875007 0.029841 0.039806 0.880104 0.472167
1652439888.912429 67.187809 51.386601 -4.874238 0.030875 0.040489 0.886512 0.459895
1652439890.081459 66.943947 51.715901 -4.872603 0.030607 0.039827 0.891794 0.449645
1652439891.240168 66.685992 52.040966 -4.872383 0.030500 0.039498 0.897830 0.437505
1652439892.579391 66.395662 52.379398 -4.869453 0.030853 0.039344 0.907288 0.417526
1652439893.638629 66.117168 52.681434 -4.864428 0.031809 0.039814 0.916375 0.397064
1652439894.808876 65.827890 52.964732 -4.859268 0.033517 0.040351 0.927451 0.370248
1652439895.802604 65.491726 53.256218 -4.850971 0.034352 0.040514 0.937293 0.344472
1652439896.907798 65.163888 53.498457 -4.840992 0.034604 0.039853 0.944455 0.324374
1652439898.083755 64.825795 53.741218 -4.829159 0.036095 0.041247 0.949961 0.307522
1652439899.305871 64.483156 53.969280 -4.815844 0.036450 0.040398 0.953961 0.294953
1652439900.411428 64.099790 54.204640 -4.803664 0.036623 0.038759 0.957866 0.282221
1652439901.472697 63.742417 54.427693 -4.790294 0.036604 0.038045 0.960169 0.274388
1652439902.471219 63.389551 54.629996 -4.777866 0.036346 0.036569 0.960837 0.272275
1652439903.644309 63.019071 54.845039 -4.765284 0.036117 0.036235 0.960946 0.271965
1652439905.808686 62.673631 55.050864 -4.755921 0.037000 0.036506 0.964361 0.259434
1652439917.807229 62.298927 55.229696 -4.752541 0.039874 0.035015 0.980763 0.187852
1652439918.907430 61.908546 55.378218 -4.732386 0.039927 0.035063 0.980257 0.190452
1652439920.093938 61.498674 55.534945 -4.708801 0.039924 0.034997 0.978951 0.197070
1652439921.143864 61.120526 55.688023 -4.690969 0.040488 0.035216 0.977831 0.202403
1652439922.248101 60.718365 55.844509 -4.668761 0.040192 0.034004 0.978762 0.198126
1652439923.407259 60.312594 55.987372 -4.645554 0.040835 0.034361 0.985758 0.159479
1652439924.475519 59.897445 56.094743 -4.621766 0.041732 0.034506 0.992221 0.112096
1652439925.638083 59.482602 56.165801 -4.593711 0.042736 0.035412 0.995416 0.077890
1652439926.907205 59.074899 56.206309 -4.565296 0.042765 0.034573 0.997342 0.047797
1652439927.968932 58.666740 56.239769 -4.539318 0.042130 0.033508 0.996420 0.065180
1652439928.969651 58.245002 56.291606 -4.513215 0.041670 0.033494 0.995047 0.083802
1652439930.078789 57.803921 56.370099 -4.488707 0.041291 0.033939 0.994273 0.092549
1652439931.065167 57.396854 56.442121 -4.459902 0.040321 0.034861 0.994400 0.091251
1652439932.063865 56.980662 56.509144 -4.435545 0.039452 0.035132 0.993093 0.104766
1652439933.230335 56.586165 56.618994 -4.417507 0.037787 0.034775 0.980345 0.190491
1652439934.468107 56.211926 56.790361 -4.400742 0.035547 0.034372 0.961675 0.269697
1652439935.565536 55.920287 56.984989 -4.387038 0.032772 0.032314 0.932628 0.357891
1652439937.139349 55.755239 57.135194 -4.378239 0.029669 0.030058 0.896760 0.440497
1652439948.802788 55.495843 57.334977 -4.322439 0.020649 0.022405 0.854347 0.518809
1652439950.239580 55.314161 57.718186 -4.320877 0.017219 0.017638 0.818203 0.574400
1652439951.235236 55.134624 58.146755 -4.328407 0.017769 0.017073 0.831233 0.555378
1652439952.233433 54.982023 58.516568 -4.329927 0.017297 0.015924 0.821864 0.569199
1652439953.399626 54.827383 58.886658 -4.334286 0.017935 0.014578 0.829475 0.558065
1652439954.567497 54.644993 59.299967 -4.334361 0.019246 0.015724 0.841949 0.538985
1652439955.636639 54.469210 59.661076 -4.334103 0.020371 0.016032 0.852280 0.522443
1652439956.801114 54.244964 60.070279 -4.335962 0.021039 0.015873 0.857176 0.514348
1652439957.968860 54.034532 60.435073 -4.332982 0.021059 0.015969 0.858798 0.511633
1652439959.137642 53.830534 60.793053 -4.330697 0.021045 0.015035 0.856158 0.516066
1652439960.301494 53.630462 61.160536 -4.330439 0.021438 0.014977 0.860621 0.508574
1652439961.467704 53.401300 61.521302 -4.327084 0.022504 0.015907 0.883463 0.467689
1652439962.563955 53.150328 61.844134 -4.321741 0.024057 0.017568 0.897979 0.439029
1652439963.633713 52.892281 62.151145 -4.315925 0.024111 0.017779 0.909993 0.413539
1652439964.969328 52.605036 62.463795 -4.309257 0.025000 0.018717 0.916883 0.397933
1652439965.968004 52.314967 62.759437 -4.301761 0.025342 0.019107 0.918639 0.393822
1652439966.895848 52.014553 63.055869 -4.298742 0.025425 0.018879 0.918358 0.394482
1652439967.896715 51.703592 63.366996 -4.292562 0.025554 0.018550 0.922176 0.385479
1652439968.968170 51.392665 63.652483 -4.283800 0.025777 0.018823 0.931211 0.363080
1652439969.969374 51.083012 63.908453 -4.281533 0.025896 0.017745 0.941166 0.336485
1652439970.969017 50.738649 64.163175 -4.269383 0.026375 0.018426 0.948587 0.314877
1652439971.902519 50.399922 64.390820 -4.257999 0.026704 0.018713 0.955968 0.291653
1652439973.073582 50.042123 64.604215 -4.246478 0.027519 0.020078 0.962483 0.269194
1652439974.138799 49.685447 64.795384 -4.234272 0.028021 0.020930 0.967114 0.251929
1652439975.245034 49.330761 64.985210 -4.222143 0.027623 0.020501 0.960641 0.275654
1652439976.306275 48.970769 65.213977 -4.212935 0.027644 0.020806 0.956184 0.290716
1652439977.305635 48.594986 65.453086 -4.204791 0.027894 0.021584 0.958331 0.283473
1652439978.476903 48.217610 65.670493 -4.191405 0.028017 0.021738 0.966817 0.252995
1652439979.577572 47.816338 65.852777 -4.177906 0.028378 0.022577 0.977739 0.206667
1652439980.643592 47.429658 65.990862 -4.164774 0.028842 0.022772 0.984374 0.172216
1652439981.746264 47.043088 66.112614 -4.152462 0.029498 0.023716 0.988553 0.146049
1652439982.747030 46.646653 66.211742 -4.136973 0.029396 0.023019 0.991268 0.126468
1652439983.809363 46.224963 66.295998 -4.119176 0.028968 0.022260 0.993223 0.110336
1652439984.929268 45.824647 66.376007 -4.103098 0.028746 0.022209 0.995043 0.092572
1652439986.140854 45.425177 66.438874 -4.086151 0.028842 0.022322 0.995983 0.081775
1652439987.246975 45.010591 66.494247 -4.070275 0.029014 0.021957 0.996460 0.075786
1652439988.413563 44.601448 66.555020 -4.057543 0.029010 0.022381 0.996155 0.079580
1652439989.470957 44.183105 66.612705 -4.039042 0.028623 0.021370 0.996109 0.080569
1652439990.579279 43.773389 66.665711 -4.024673 0.028622 0.021851 0.997268 0.064502
1652439991.578470 43.343395 66.709854 -4.006976 0.028511 0.021573 0.998336 0.045237
1652439992.745744 42.914630 66.738484 -3.985711 0.028066 0.022389 0.999184 0.018503
1652439993.803151 42.502674 66.740478 -3.972428 0.028124 0.022803 0.999312 0.007975
1652439994.752282 42.071045 66.732566 -3.955932 0.027917 0.022526 0.999352 -0.002844
1652439995.805235 41.641377 66.719151 -3.939537 0.027718 0.022750 0.999285 -0.011986
1652439996.811515 41.212192 66.689022 -3.923326 0.027500 0.022261 0.999109 -0.023023
1652439997.809396 40.805596 66.644941 -3.912135 0.027451 0.020765 0.998878 -0.032529
1652439998.809001 40.376727 66.585062 -3.893903 0.026537 0.021500 0.996461 -0.076807
1652439999.915457 39.965531 66.482754 -3.886406 0.026517 0.019185 0.992442 -0.118266
1652440000.977361 39.549201 66.352765 -3.876263 0.025990 0.018467 0.987641 -0.153456
1652440001.976947 39.146492 66.202714 -3.860784 0.025469 0.020781 0.983444 -0.178208
1652440002.972990 38.746806 66.040839 -3.844138 0.025180 0.020658 0.982242 -0.184768
1652440003.976490 38.355217 65.880397 -3.826121 0.024782 0.020382 0.981520 -0.188649
1652440004.974552 37.982478 65.717648 -3.809742 0.024582 0.021046 0.977600 -0.207970
1652440005.973793 37.604882 65.530353 -3.790864 0.024019 0.020672 0.970719 -0.238119
1652440007.139045 37.227902 65.318972 -3.773095 0.024027 0.020854 0.966152 -0.256005
1652440008.305841 36.874735 65.102540 -3.758285 0.024221 0.020953 0.962561 -0.269167
1652440009.304740 36.523190 64.873859 -3.741081 0.024367 0.020921 0.959442 -0.280071
1652440010.247060 36.175651 64.631440 -3.722039 0.023831 0.020956 0.951038 -0.307442
1652440011.086828 35.835941 64.371597 -3.704823 0.023394 0.021195 0.943898 -0.328724
1652440011.970920 35.513993 64.101722 -3.689008 0.023062 0.020889 0.936122 -0.350297
1652440012.970096 35.211745 63.832998 -3.673317 0.023027 0.020802 0.931922 -0.361329
1652440013.974067 34.909678 63.544854 -3.654720 0.022772 0.019905 0.929762 -0.366916
1652440014.927798 34.619037 63.266495 -3.638748 0.022667 0.019842 0.930119 -0.366020
1652440015.908683 34.285262 62.947117 -3.622579 0.022900 0.020228 0.931548 -0.362332
1652440016.969738 33.984583 62.663837 -3.606074 0.022663 0.020857 0.929309 -0.368016
1652440017.971460 33.678714 62.357822 -3.588575 0.022281 0.021191 0.920534 -0.389450
1652440018.911837 33.398519 62.036890 -3.570403 0.021274 0.022652 0.904120 -0.426148
1652440019.803144 33.134516 61.685327 -3.550274 0.020571 0.022924 0.894114 -0.446779
1652440020.743689 32.880981 61.324535 -3.529586 0.020038 0.022607 0.889301 -0.456323
1652440021.744499 32.637468 60.962427 -3.511181 0.020047 0.022482 0.889860 -0.455238
1652440022.742480 32.392318 60.600171 -3.493111 0.020077 0.022455 0.889660 -0.455629
1652440023.637029 32.129297 60.229076 -3.476653 0.019844 0.022598 0.889776 -0.455406
1652440024.637687 31.887913 59.856995 -3.464753 0.020073 0.022739 0.874296 -0.484445
1652440025.636965 31.674033 59.471870 -3.449535 -0.019692 -0.022894 -0.859429 0.510363
1652440026.577452 31.499222 59.100324 -3.432921 -0.018901 -0.022917 -0.837146 0.546173
1652440027.470279 31.337696 58.668660 -3.415592 -0.018038 -0.023158 -0.816059 0.577222
1652440028.404284 31.212907 58.276953 -3.398061 -0.017471 -0.023058 -0.806879 0.590008
1652440029.302669 31.100098 57.875062 -3.382280 -0.017313 -0.023127 -0.799168 0.600413
1652440030.403143 30.999440 57.471290 -3.367377 -0.016764 -0.023891 -0.780502 0.624472
1652440031.471692 30.917421 57.067239 -3.349327 -0.016359 -0.024410 -0.774043 0.632451
1652440032.566659 30.831837 56.643771 -3.330862 -0.016438 -0.024961 -0.779863 0.625236
1652440033.467179 30.735579 56.227923 -3.314299 -0.016449 -0.025007 -0.787412 0.615700
1652440034.394798 30.650232 55.812979 -3.297079 -0.015614 -0.025178 -0.770560 0.636678
1652440035.394729 30.578998 55.396470 -3.279515 -0.014942 -0.025365 -0.757898 0.651709
1652440036.298779 30.515725 54.975870 -3.264148 -0.015393 -0.024940 -0.767377 0.640526
1652440037.230327 30.437548 54.573720 -3.247690 -0.016384 -0.024447 -0.796796 0.603531
1652440038.302363 30.307873 54.181285 -3.235860 -0.018792 -0.023968 -0.835691 0.548354
1652440039.639012 30.119034 53.805165 -3.212494 0.022294 0.021107 0.875082 -0.483001
1652440040.738835 29.907916 53.507789 -3.190280 0.025311 0.018410 0.914468 -0.403446
1652440041.740482 29.683535 53.284136 -3.173431 0.027917 0.015989 0.947173 -0.319106
1652440042.574457 29.418303 53.100279 -3.156441 0.030166 0.014005 0.972554 -0.230289
1652440043.577772 29.123234 52.963046 -3.140353 0.030125 0.014794 0.989127 -0.143182
1652440044.905993 28.727362 52.866594 -3.124358 0.030472 0.015225 0.997099 -0.068065
1652440046.073438 28.311486 52.800036 -3.107163 0.030645 0.015577 0.997002 -0.069325
1652440047.134659 27.897887 52.728076 -3.086940 0.029695 0.016589 0.995016 -0.093737
1652440048.133187 27.509874 52.632245 -3.069373 0.029304 0.016770 0.991470 -0.125884
1652440049.132766 27.119442 52.511937 -3.049231 0.028964 0.018414 0.986330 -0.161171
1652440050.130702 26.727279 52.354315 -3.030902 0.028910 0.017110 0.981439 -0.188809
1652440051.129596 26.317378 52.176939 -3.011161 0.028743 0.016857 0.979349 -0.199414
1652440052.066234 25.919679 51.996634 -2.991921 0.028911 0.015858 0.982510 -0.183265
1652440053.130217 25.519480 51.845739 -2.971292 0.029172 0.014150 0.985893 -0.164204
1652440054.068844 25.120274 51.682726 -2.957642 0.029082 0.012230 0.978516 -0.203743
1652440055.062015 24.744161 51.486967 -2.937854 0.028897 0.017235 0.968916 -0.245092
1652440055.964112 24.398274 51.273874 -2.917845 0.028985 0.020362 0.961681 -0.271874
1652440056.892587 24.017083 51.015508 -2.902926 0.029980 0.019954 0.954702 -0.295376
1652440057.900887 23.684118 50.760772 -2.878846 0.029670 0.018248 0.952503 -0.302530
1652440058.896593 23.345682 50.512137 -2.854973 0.028443 0.020486 0.948952 -0.313466
1652440059.892027 23.006399 50.252341 -2.831702 0.028587 0.020486 0.946354 -0.321212
1652440060.795775 22.674784 49.978685 -2.809092 0.028271 0.019491 0.944965 -0.325365
1652440061.629737 22.353310 49.712574 -2.789054 0.028043 0.019310 0.943354 -0.330036
1652440062.464404 22.040834 49.428117 -2.771353 0.027851 0.019357 0.928791 -0.369049
1652440063.395919 21.757956 49.119725 -2.751158 0.027352 0.019135 0.909811 -0.413677
1652440064.397810 21.488033 48.765158 -2.730064 0.026881 0.018199 0.890664 -0.453502
1652440065.301317 21.250186 48.421041 -2.711422 0.027026 0.018238 0.889072 -0.456605
1652440066.300794 21.001587 48.070978 -2.691906 0.027296 0.018208 0.892842 -0.449173
1652440067.300745 20.756553 47.724591 -2.670392 0.027205 0.018088 0.893796 -0.447282
1652440068.301018 20.491679 47.356302 -2.652831 0.027480 0.017491 0.893500 -0.447879
1652440069.308026 20.233755 46.989181 -2.635283 0.029046 0.015818 0.884945 -0.464520
1652440070.239932 20.005301 46.611007 -2.613134 0.028570 0.015145 0.868681 -0.494315
1652440071.136105 19.780024 46.203517 -2.592392 -0.027078 -0.017182 -0.861272 0.507130
1652440072.140552 19.587787 45.801189 -2.571289 -0.025894 -0.018550 -0.843355 0.536412
1652440073.139304 19.428084 45.409817 -2.551311 -0.025616 -0.017715 -0.827521 0.560571
1652440073.972913 19.291609 45.013566 -2.532930 -0.025127 -0.019025 -0.817742 0.574722
1652440074.918854 19.164103 44.606465 -2.513110 -0.024783 -0.017866 -0.808866 0.587199
1652440075.808700 19.038624 44.191140 -2.494291 -0.024250 -0.018389 -0.805503 0.591809
1652440076.752464 18.921746 43.743056 -2.475923 -0.023732 -0.018589 -0.795745 0.604881
1652440077.644878 18.810777 43.311734 -2.460477 -0.023652 -0.018793 -0.798305 0.601496
1652440078.644972 18.696098 42.885352 -2.443308 -0.024211 -0.019132 -0.807567 0.588968
1652440079.758422 18.553907 42.496605 -2.429140 -0.024908 -0.020451 -0.834778 0.549643
1652440080.921873 18.376200 42.119871 -2.407442 -0.027309 -0.019597 -0.864962 0.500710
1652440081.922855 18.145614 41.777513 -2.388256 0.030172 0.019029 0.905459 -0.422932
1652440083.093737 17.852534 41.449860 -2.364509 0.031209 0.019059 0.931170 -0.362746
1652440084.090143 17.533707 41.165441 -2.340406 0.031783 0.019189 0.946819 -0.319618
1652440084.922754 17.216715 40.909491 -2.316981 0.031340 0.019333 0.944089 -0.327628
1652440085.917146 16.901889 40.636766 -2.293895 0.031345 0.019554 0.935186 -0.352225
1652440086.972930 16.585200 40.352581 -2.275340 0.031941 0.019291 0.933272 -0.357228
1652440088.086617 16.289984 40.064015 -2.251151 0.032329 0.018363 0.935403 -0.351622
1652440089.253172 15.957961 39.751675 -2.226826 0.032426 0.018931 0.940201 -0.338544
1652440090.252284 15.611913 39.452536 -2.202018 0.032817 0.018427 0.944414 -0.326598
1652440091.253437 15.279209 39.162153 -2.178904 0.032891 0.018337 0.940122 -0.338752
1652440092.312570 14.956627 38.872107 -2.155858 0.033039 0.019532 0.942705 -0.331411
1652440093.307238 14.604638 38.580701 -2.132423 0.032960 0.020241 0.948050 -0.315761
1652440094.309074 14.262254 38.304520 -2.107104 0.033057 0.020059 0.949117 -0.312540
1652440095.419629 13.902339 38.029217 -2.082400 0.033069 0.020159 0.952381 -0.302441
1652440096.418264 13.579787 37.783941 -2.058637 0.033342 0.020109 0.952127 -0.303213
1652440097.472714 13.241732 37.522657 -2.035336 0.033639 0.020343 0.950390 -0.308567
1652440098.585488 12.913534 37.263843 -2.011612 0.033874 0.020612 0.947648 -0.316846
1652440099.585136 12.567747 36.982958 -1.985982 0.033602 0.020913 0.944314 -0.326657
1652440100.472919 12.233036 36.705061 -1.959941 0.033511 0.020462 0.942863 -0.330858
1652440101.473239 11.884746 36.398594 -1.930710 0.032732 0.021293 0.941921 -0.333556
1652440102.420024 11.566050 36.123903 -1.906359 0.032908 0.020998 0.944329 -0.326678
1652440103.583881 11.233711 35.856928 -1.881034 0.033420 0.020029 0.950292 -0.308914
1652440104.583548 10.874243 35.591471 -1.856156 0.033612 0.020091 0.953121 -0.300044
1652440105.582185 10.518981 35.324548 -1.831890 0.033655 0.020227 0.951278 -0.305826
1652440106.581334 10.176982 35.044775 -1.805158 0.033652 0.020072 0.947460 -0.317467
1652440107.477808 9.851992 34.778670 -1.781092 0.033833 0.020507 0.937584 -0.345501
1652440108.585440 9.530205 34.480531 -1.760650 0.033890 0.021105 0.930073 -0.365200
1652440109.640162 9.222931 34.161934 -1.735860 0.034118 0.021078 0.925913 -0.375602
1652440110.589468 8.921351 33.852452 -1.714493 0.034626 0.020550 0.924530 -0.378977
1652440111.474293 8.603849 33.520695 -1.686004 0.034186 0.020277 0.919146 -0.391906
1652440112.426213 8.342531 33.200588 -1.660970 0.033327 0.020158 0.898362 -0.437526
1652440113.144722 8.097868 32.818113 -1.635106 -0.031728 -0.019550 -0.863888 0.502303
